collection,local_source_path,relative_path,filename,extension,size_bytes,modified_date,sha256,title_inferred,author_publisher,category,language,likely_topic,rights_status,review_status,possible_kutumba_relevance,duplicate_group
JayapatakaSwamiBV,"C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Bhakti Vriksha, an introduction.doc","Bhakti Vriksha, an introduction.doc","Bhakti Vriksha, an introduction.doc",.doc,32256,2026-06-30T02:00:23.671600+00:00,764bd7b48e15dd542764dffe2f7ebde7bb028215133a26f29f76d51a802c6686,"Bhakti Vriksha, an introduction",,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Introduction to the BV modules.doc,Introduction to the BV modules.doc,Introduction to the BV modules.doc,.doc,44544,2026-06-30T02:00:23.314507+00:00,f53f9e83f1e87a9042975af19e502fdac0800182b01fee806b2e863241962a01,Introduction to the BV modules,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Shraddhavan application.doc,Shraddhavan application.doc,Shraddhavan application.doc,.doc,67072,2026-06-30T02:00:23.362771+00:00,fd3bd51aafd8c8cf6c2161270538388cda81b8f99b9cc1f1d1f2cada88ad4535,Shraddhavan application,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Starting a Bhakti Vriksha-----.doc,Starting a Bhakti Vriksha-----.doc,Starting a Bhakti Vriksha-----.doc,.doc,38912,2026-06-30T02:00:23.378931+00:00,4e4c377b617aa68046759d3787e40c3885d0e31da9894cb6ff8e07a5fc8ee906,Starting a Bhakti Vriksha-----,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week  26  (Vyuha Program).doc,Week  26  (Vyuha Program).doc,Week  26  (Vyuha Program).doc,.doc,29696,2026-06-30T02:00:23.452855+00:00,8eb65d349ed080d10f5e80647aaa4989bd7a19167c632309b18a9db609f9d7ff,Week  26  (Vyuha Program),,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week  3.doc,Week  3.doc,Week  3.doc,.doc,59392,2026-06-30T02:00:23.469539+00:00,7e01d96bc52622d536a051b58735a10799307f7ae744fdfc00b853589c8d8142,Week  3,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week -10.doc,Week -10.doc,Week -10.doc,.doc,63488,2026-06-30T02:00:23.582963+00:00,81ba45ba5261497b467c2dd396a06130c87d6d1536e917c3fa2eb5c72ca829af,Week -10,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week -11.doc,Week -11.doc,Week -11.doc,.doc,61440,2026-06-30T02:00:23.599152+00:00,9f789d4fa17747893158fe9934f28f2e18d8c36fad3b9e7bb2fb818dca6e7051,Week -11,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week -13(Vyuha program).doc,Week -13(Vyuha program).doc,Week -13(Vyuha program).doc,.doc,30208,2026-06-30T02:00:23.655247+00:00,ab6f18e6316a5ad1d88715de82295071435c3c6d00d1c4ea97955528fb26c04c,Week -13(Vyuha program),,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week 18.doc,Week 18.doc,Week 18.doc,.doc,55296,2026-06-30T02:00:23.736689+00:00,5fa0e5984018eb073af391d03edeb40e331dbab603b6c19b1103fdd4812fd40e,Week 18,,document,en,,reference-only-index-only,not-reviewed,research-only,
