collection,local_source_path,relative_path,filename,extension,size_bytes,modified_date,sha256,title_inferred,author_publisher,category,language,likely_topic,rights_status,review_status,possible_kutumba_relevance,duplicate_group,source_root_id,portable_source_path
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material.zip,BV Material.zip,BV Material.zip,.zip,828161,2026-06-30T01:59:11.967591+00:00,0f9f216d354d97ac95699285dcd7c1731020c590082e7f1bcd9ebdda0e2ae64b,BV Material,,other,en,,reference-only-index-only,not-reviewed,research-only,,jayapataka-bv,.zip
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\1.png,Channel Logos/1.png,1.png,.png,99542,2022-05-06T18:57:52.737936+00:00,39ff0279d2f9ab42e97a758a48483b962240e3a5cdeb3333aef3ceaa8d1c8a4c,1,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/1.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\2.png,Channel Logos/2.png,2.png,.png,100227,2022-05-06T18:57:52.745915+00:00,940882bb85dde0606fce84499d4ff782c066afd9ca216a3503d7abc088266ebd,2,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/2.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\Final\1-removebg-preview-standard-scale-4_00x.png,Channel Logos/Final/1-removebg-preview-standard-scale-4_00x.png,1-removebg-preview-standard-scale-4_00x.png,.png,2924658,2022-05-06T18:59:09.591681+00:00,834f6a8d9bb02c5ced153460c7a9c592afb48c500be9e8f42a1457fe0c5e764d,1-removebg-preview-standard-scale-4_00x,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/Final/1-removebg-preview-standard-scale-4_00x.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\Final\2-removebg-preview-standard-scale-4_00x.png,Channel Logos/Final/2-removebg-preview-standard-scale-4_00x.png,2-removebg-preview-standard-scale-4_00x.png,.png,3033261,2022-05-06T18:59:39.991688+00:00,8fab984ea7e5fc1314868e4f6df90440dad8ca434707345ecd96995703937159,2-removebg-preview-standard-scale-4_00x,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/Final/2-removebg-preview-standard-scale-4_00x.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\Final\BhaktiVriksha_Logo-removebg-preview-standard-scale-4_00x.png,Channel Logos/Final/BhaktiVriksha_Logo-removebg-preview-standard-scale-4_00x.png,BhaktiVriksha_Logo-removebg-preview-standard-scale-4_00x.png,.png,2985158,2022-05-06T19:12:56.038065+00:00,52cc008dbaeb6972626fe1d0da2b7dc25515f730868df18802a32aed06fc3d04,BhaktiVriksha_Logo-removebg-preview-standard-scale-4_00x,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/Final/BhaktiVriksha_Logo-removebg-preview-standard-scale-4_00x.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\No Bkgrnd\1-removebg-preview.png,Channel Logos/No Bkgrnd/1-removebg-preview.png,1-removebg-preview.png,.png,107105,2022-05-06T18:58:25.176116+00:00,b7f48ec06444d94e5b5a74a92c570a33831abac33d8e76985376ed438ab921f8,1-removebg-preview,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/No Bkgrnd/1-removebg-preview.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Channel Logos\No Bkgrnd\2-removebg-preview.png,Channel Logos/No Bkgrnd/2-removebg-preview.png,2-removebg-preview.png,.png,112879,2022-05-06T18:58:16.388051+00:00,bec0801caa6199dc1cbb25696f6cf3af5e53b9cf864ba7e847d66c3abee362d0,2-removebg-preview,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Channel Logos/No Bkgrnd/2-removebg-preview.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Documents\कराग्रे वसते लक्ष्मिः करमध्ये सरस्वति ।.docx,Documents/कराग्रे वसते लक्ष्मिः करमध्ये सरस्वति ।.docx,कराग्रे वसते लक्ष्मिः करमध्ये सरस्वति ।.docx,.docx,15363,2022-02-04T14:09:57.296590+00:00,2ec08664b9a0c9f186ab506f50984bb0ec3ccdceea7f4fbcf03df8f9b564da02,कराग्रे वसते लक्ष्मिः करमध्ये सरस्वति ।,,document,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Documents/कराग्रे वसते लक्ष्मिः करमध्ये सरस्वति ।.docx
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Documents\॥श्रीसूर्याष्टकम्॥.docx,Documents/॥श्रीसूर्याष्टकम्॥.docx,॥श्रीसूर्याष्टकम्॥.docx,.docx,13716,2022-02-04T14:01:34.203587+00:00,698578a36a06ffd1bf1e35b983a71779bbf2c3103068e03e533e586edff268f3,॥श्रीसूर्याष्टकम्॥,,document,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Documents/॥श्रीसूर्याष्टकम्॥.docx
